,State Abbr.,2014 Male Officer Count,2014 Female Officer Count,2014 Officer Count,2014 Population,2015 Male Officer Count,2015 Female Officer Count,2015 Officer Count,2015 Population,2016 Male Officer Count,2016 Female Officer Count,2016 Officer Count,2016 Population,2017 Male Officer Count,2017 Female Officer Count,2017 Officer Count,2017 Population,2014 People per Officer,2015 People per Officer,2016 People per Officer,2017 People per Officer
0,CA,68250.0,10193.0,78443.0,38970399,68706.0,10167.0,78873.0,39469712,68699.0,10306.0,79005.0,39454294,68403.0,10337.0,78740.0,39713887,496.79893680761825,500.42108199257035,499.38983608632367,504.36737363474725
1,NY,54625.0,8302.0,62927.0,21799396,55464.0,8678.0,64142.0,21811666,56289.0,9053.0,65342.0,21809118,53305.0,9128.0,62433.0,21794544,346.4235701686081,340.0527891241308,333.76875516513115,349.086925183797
2,TX,50971.0,6308.0,57279.0,27240637,50571.0,6614.0,57185.0,27801749,51071.0,6760.0,57831.0,28685684,38225.0,5555.0,43780.0,28467008,475.57808271792453,486.1720556089884,496.0260759800107,650.2285975331201
3,FL,39512.0,6409.0,45921.0,20007473,42193.0,6937.0,49130.0,20388277,42062.0,7426.0,49488.0,20750677,38844.0,7132.0,45976.0,21152963,435.69332113847696,414.9863016486872,419.30724620109925,460.08706716547766
4,GA,32240.0,6483.0,38723.0,10503162,32796.0,6586.0,39382.0,10812277,32482.0,6670.0,39152.0,10662998,20520.0,4174.0,24694.0,10885394,271.2383338067815,274.54870245289726,272.34874335921535,440.81129019194947
5,IL,29622.0,4958.0,34580.0,13023192,30941.0,4945.0,35886.0,13117464,29537.0,4899.0,34436.0,12985528,20955.0,4322.0,25277.0,12911525,376.61052631578946,365.5315164688179,377.091648275061,510.80132135933854
6,NJ,27989.0,2744.0,30733.0,9134732,33986.0,3229.0,37215.0,9310977,30890.0,2992.0,33882.0,9005202,28308.0,3033.0,31341.0,9066144,297.22877688478184,250.19419588875454,265.7812998052063,289.27424140901695
7,PA,24293.0,2654.0,26947.0,13560937,24357.0,2648.0,27005.0,13631853,24030.0,2630.0,26660.0,13622531,23223.0,2619.0,25842.0,13598612,503.2447767840576,504.78996482132936,510.972655663916,526.2213450971287
8,NC,23945.0,2950.0,26895.0,10646776,24826.0,3060.0,27886.0,11015159,24258.0,2975.0,27233.0,10798726,24756.0,3309.0,28065.0,11965888,395.8645101319948,395.00677759449184,396.53090001101606,426.3633707464814
9,OH,23953.0,2536.0,26489.0,13864130,26169.0,2845.0,29014.0,14137838,22320.0,2393.0,24713.0,12838704,12068.0,1380.0,13448.0,11763545,523.3919740269546,487.27641828082994,519.5121595921175,874.7430844735277
10,MI,17713.0,2482.0,20195.0,10699502,17501.0,2508.0,20009.0,10557596,17667.0,2462.0,20129.0,10451718,14920.0,2186.0,17106.0,10400915,529.8094577865809,527.6423609375781,519.2368224949079,608.0273003624459
11,VA,17512.0,2403.0,19915.0,8353672,17325.0,2286.0,19611.0,8396653,17639.0,2443.0,20082.0,8436263,16632.0,2404.0,19036.0,8478323,419.4663319106201,428.16036918056193,420.090777810975,445.383641521328
12,LA,14581.0,3717.0,18298.0,4975083,14244.0,3456.0,17700.0,4841777,13997.0,3300.0,17297.0,4907781,11963.0,3406.0,15369.0,4819273,271.8921740080883,273.5467231638418,283.73596577441174,313.5710195848786
13,MD,15697.0,2447.0,18144.0,6995931,17947.0,2690.0,20637.0,7594836,15547.0,2254.0,17801.0,6217491,14437.0,2527.0,16964.0,6249375,385.57820767195767,368.0203517953191,349.27762485253635,368.3904149964631
14,TN,16166.0,1618.0,17784.0,6565813,16468.0,1598.0,18066.0,6663647,16161.0,1697.0,17858.0,6675824,15082.0,1654.0,16736.0,6734436,369.19776203328837,368.8501605225285,373.8282002463882,402.3922084130019
15,MA,16115.0,1466.0,17581.0,7098473,16298.0,1505.0,17803.0,7085175,16074.0,1519.0,17593.0,6852336,15038.0,1466.0,16504.0,6872032,403.75820488026847,397.9764646407909,389.49218439151934,416.38584585555014
16,MO,14542.0,1481.0,16023.0,6165592,14742.0,1544.0,16286.0,6196833,14878.0,1566.0,16444.0,6269010,13172.0,1503.0,14675.0,6199257,384.7963552393434,380.5006140243154,381.2338846995865,422.4365928449744
17,PR,11408.0,3125.0,14533.0,0,11140.0,3088.0,14228.0,0,11408.0,3125.0,14533.0,0,,,,3337177,0.0,0.0,0.0,
18,SC,12141.0,1516.0,13657.0,5144856,12133.0,1514.0,13647.0,5151240,11739.0,1514.0,13253.0,5004023,7856.0,1272.0,9128.0,5067266,376.71933806838985,377.4631787205979,377.5766241605674,555.1343120070114
19,CO,11156.0,2026.0,13182.0,5630858,11814.0,1701.0,13515.0,5831521,11785.0,1762.0,13547.0,5915026,10729.0,1644.0,12373.0,5661529,427.1626460324685,431.48509064002957,436.62995497158045,457.57124383738784
20,WI,11415.0,1741.0,13156.0,5974186,11254.0,1760.0,13014.0,5923676,11179.0,1889.0,13068.0,5898519,11163.0,1722.0,12885.0,5908949,454.1035269078747,455.17719379130165,451.3712121212121,458.5913077221575
21,AL,12052.0,960.0,13012.0,5486497,11616.0,905.0,12521.0,5295404,11445.0,881.0,12326.0,5145855,5200.0,365.0,5565.0,5135776,421.64901629265296,422.9218113569204,417.4797176699659,922.8707996406109
22,AZ,11441.0,1338.0,12779.0,6767669,11826.0,1420.0,13246.0,6885540,11735.0,1375.0,13110.0,7090429,11480.0,1382.0,12862.0,7037119,529.5930041474294,519.8203231164125,540.8412662090008,547.1247861918831
23,IN,11111.0,861.0,11972.0,6835443,11624.0,910.0,12534.0,7120157,12100.0,942.0,13042.0,7690500,6708.0,581.0,7289.0,6678341,570.9524724356833,568.0674166267752,589.671829474007,916.2218411304706
24,WA,10383.0,1053.0,11436.0,7796184,10331.0,1054.0,11385.0,7865318,10354.0,1081.0,11435.0,7830630,9665.0,1054.0,10719.0,7452537,681.7229800629591,690.8491875274484,684.7949278530826,695.2642037503498
25,KS,8887.0,983.0,9870.0,3766467,8097.0,812.0,8909.0,3493349,8139.0,828.0,8967.0,3460077,6165.0,708.0,6873.0,3006891,381.6075987841945,392.11460321023685,385.86784877885583,437.4932343954605
26,KY,9104.0,707.0,9811.0,4517111,10447.0,870.0,11317.0,4558115,8659.0,648.0,9307.0,4516590,7146.0,505.0,7651.0,4494059,460.4129038833962,402.76707608023327,485.28956699258623,587.3819108613253
27,MN,8404.0,1082.0,9486.0,5688135,8727.0,1148.0,9875.0,5723173,9164.0,1158.0,10322.0,5996299,8565.0,1129.0,9694.0,5894269,599.634724857685,579.5618227848101,580.9241426080217,608.0327006395709
28,OR,8352.0,846.0,9198.0,4270314,12437.0,1449.0,13886.0,8727050,7433.0,746.0,8179.0,4515765,6056.0,711.0,6767.0,4249078,464.2654924983692,628.4783234912862,552.1170069690671,627.9116299689671
29,CT,7966.0,838.0,8804.0,3772833,7199.0,782.0,7981.0,3703110,7442.0,830.0,8272.0,3837385,6567.0,758.0,7325.0,3645220,428.53623353021356,463.99072797895,463.9005077369439,497.6409556313993
30,OK,7671.0,609.0,8280.0,4023386,8372.0,647.0,9019.0,4319343,8493.0,765.0,9258.0,4182166,8109.0,724.0,8833.0,3955379,485.9161835748792,478.9159552056769,451.7353640095053,447.7956526661383
31,AR,6276.0,549.0,6825.0,3119997,6310.0,544.0,6854.0,3131415,6283.0,589.0,6872.0,3064998,5408.0,567.0,5975.0,3021597,457.1424175824176,456.87408812372337,446.01251455180443,505.7066108786611
32,MS,6068.0,553.0,6621.0,3367239,6323.0,604.0,6927.0,3390043,6058.0,578.0,6636.0,3261191,1958.0,225.0,2183.0,2985402,508.56955142727685,489.39555363072037,491.4392706449668,1367.5684837379752
33,IA,5400.0,412.0,5812.0,3670976,5548.0,451.0,5999.0,3755941,5426.0,455.0,5881.0,3622675,4801.0,434.0,5235.0,3179051,631.6200963523744,626.0945157526254,615.9964291787111,607.268576886342
34,HI,5178.0,477.0,5655.0,2608100,3066.0,294.0,3360.0,1556738,2690.0,305.0,2995.0,1428557,2644.0,307.0,2951.0,1427538,461.20247568523433,463.314880952381,476.98063439065106,483.7472043375127
35,NV,5028.0,518.0,5546.0,2845845,5707.0,705.0,6412.0,2897487,6239.0,785.0,7024.0,2946513,6020.0,798.0,6818.0,3004362,513.1346916696718,451.88505926388024,419.49216970387243,440.6515107069522
36,UT,4815.0,350.0,5165.0,3225621,4737.0,335.0,5072.0,3252811,5032.0,384.0,5416.0,3482957,4633.0,355.0,4988.0,3317709,624.5151984511133,641.3270899053628,643.0865952732644,665.1381315156375
37,DC,4085.0,1071.0,5156.0,658893,3938.0,947.0,4885.0,672228,3875.0,920.0,4795.0,681170,3325.0,903.0,4228.0,693972,127.79150504266873,137.61064483111565,142.05839416058393,164.1371807000946
38,NM,4064.0,433.0,4497.0,2109977,4368.0,486.0,4854.0,2151227,4612.0,504.0,5116.0,2228811,2646.0,287.0,2933.0,2093574,469.1965754947743,443.1864441697569,435.6550039093041,713.799522673031
39,NB,3809.0,457.0,4266.0,2182247,3782.0,442.0,4224.0,2116117,3608.0,424.0,4032.0,2115817,2954.0,391.0,3345.0,1987973,511.5440693858415,500.97466856060606,524.7562003968254,594.3118086696562
40,WV,3857.0,151.0,4008.0,2550526,4387.0,273.0,4660.0,2329806,4032.0,156.0,4188.0,2070862,3529.0,140.0,3669.0,1828820,636.3587824351298,499.95836909871247,494.4751671442216,498.4518942491142
41,ID,2874.0,197.0,3071.0,1692343,2951.0,225.0,3176.0,1732511,2990.0,224.0,3214.0,1743721,2647.0,204.0,2851.0,1779810,551.0722891566265,545.5009445843829,542.5392034847542,624.2756927393897
42,DE,2671.0,306.0,2977.0,958690,2550.0,297.0,2847.0,962461,2706.0,325.0,3031.0,972572,2009.0,273.0,2282.0,978771,322.03224722875376,338.06146821215316,320.8749587594853,428.90929009640666
43,NH,2530.0,234.0,2764.0,1391709,2531.0,239.0,2770.0,1374133,2534.0,240.0,2774.0,1376085,2517.0,247.0,2764.0,1373143,503.5126628075253,496.0768953068592,496.0652487382841,496.7955861070912
44,RI,2312.0,194.0,2506.0,1061770,2267.0,183.0,2450.0,1062954,2298.0,184.0,2482.0,1063042,2315.0,196.0,2511.0,1066209,423.69114126097367,433.85877551020405,428.30056406124095,424.6152927120669
45,ME,2179.0,153.0,2332.0,1376141,2224.0,153.0,2377.0,1376223,2260.0,159.0,2419.0,1407114,2138.0,185.0,2323.0,1390713,590.1119210977702,578.9747580984434,581.6924348904506,598.6711149375807
46,MT,1897.0,127.0,2024.0,1128742,1975.0,135.0,2110.0,1157689,1947.0,129.0,2076.0,1121813,1787.0,130.0,1917.0,1108663,557.6788537549407,548.6677725118484,540.3723506743738,578.3322900365154
47,ND,1555.0,174.0,1729.0,838040,1600.0,199.0,1799.0,795284,1646.0,194.0,1840.0,798045,1541.0,207.0,1748.0,781178,484.69635627530363,442.07003891050584,433.7201086956522,446.89816933638446
48,SD,1589.0,112.0,1701.0,892996,1736.0,121.0,1857.0,923323,1675.0,116.0,1791.0,938772,1628.0,150.0,1778.0,909430,524.9829512051734,497.2121701669359,524.1608040201005,511.4904386951631
49,VT,1497.0,137.0,1634.0,764827,1178.0,123.0,1301.0,652392,1805.0,138.0,1943.0,925235,1076.0,112.0,1188.0,636517,468.0703794369645,501.45426594926977,476.1888831703551,535.7887205387206
50,WY,1437.0,149.0,1586.0,595013,1407.0,142.0,1549.0,598304,1390.0,145.0,1535.0,595148,318.0,63.0,381.0,588905,375.1658259773014,386.2517753389283,387.7185667752443,1545.6824146981628
51,AK,1209.0,116.0,1325.0,740644,1200.0,116.0,1316.0,743350,1156.0,113.0,1269.0,747188,1135.0,112.0,1247.0,744849,558.9766037735849,564.855623100304,588.8006304176517,597.3127506014434
52,VI,250.0,157.0,407.0,0,360.0,213.0,573.0,0,472.0,334.0,806.0,0,,,,0,0.0,0.0,0.0,
53,AS,,,,0,,,,0,,,,0,,,,0,,,,
54,CZ,,,,0,,,,0,,,,0,,,,0,,,,
55,FS,,,,0,,,,0,,,,0,,,,0,,,,
56,GM,0.0,,,0,0.0,,,0,0.0,,,0,265.0,24.0,289.0,0,,,,0.0
57,MP,,,,0,,,,0,,,,0,,,,0,,,,
58,OT,,,,0,,,,0,,,,0,,,,0,,,,
